用户ID,cus_comment,stars,label
12478710645,说实话，京东快递发错站点也就算了，这么卡的手机我也是醉了，就这还苹果系统？我用之前的小米开3g都比这个垃 圾快,5,1
12443292683,分享一下购物体验 不喜勿喷 京东自营店的包装过于简陋  不免有暴力物流 这也是店里包装的不周之处  圆键偏离过多 但不影响使用  强迫症人可能会喷  玻璃后盖是美观 但是整机过重 且玻璃后盖和屏幕之间缝隙过大   也是缺失  买了7p的就不太需要换购了  耳机数据线卡针标配 其它配件自购  性能强  未来几年掉价也比安卓机慢得多  建议还是购买xr  只是我的建议,5,1
11260417532,不错，不过化了这么多钱？京豆在哪里？,3,1
11626130372,苹果还是没有小米好用很失败,3,1
10909867169,手机很好，客服和物流让我有些失望，尤其是客服,3,1
11333499479,快递居然送错位置了，还的自己跑去拿,3,1
11291229116,下单减1000，力度确实大，给京东个大大的赞!,3,1
11788538829,以后再来京东买商品   我改性  性刘    ***的刘,3,1
11133992238,刚开始用很麻烦的，还是国产机好用，下次不想再买了。,3,1
11131331573,速度很快，麦克风不行！！！,3,1
11738855535,一直用苹果，这次弃了,3,1
11755715233,全是毛病，建议还是去实体店买，方便解决问题,3,1
10999616513,东西是正品，就是买回来死机了，又去外面找人家开机,3,1
10940371078,买了没几天就降价了心情不好,3,1
11430809363,苹果的品控真的是越差，哎,3,1
11273647258,买了不到一个月就降价了，不开心?,3,1
10980630816,寄过来的盒子有缺角！！而且手机看起来好像山寨机！不是太实用！物流速度到时挺快的！！,3,1
11447697769,包装盒子变形，手机用了两天了，感觉还行吧，昨天晚上充了一晚上电，早上起来，听了两个小时歌，手机剩下百分之三十多的电了，不知道是什么原因。,3,1
11401033962,接缝不够细腻，有毛刺感，而且提前打过电话快递也承诺准时，可让我白等一个小时很气愤。之前的7p加上这次的8p以后反正不会在京东买手机了。*很不错就在唯，*买了。,3,1
11295095709,第一天用就黑屏，还好去解决了,3,1
11322146798,屎黄屏，应该是批次问题??,3,1
10969057776,手机已经收到了，看电视的时候手机有些发热。,3,1
11760603559,就那样，觉得这个红色贼难看。,3,1
11565079204,露着胶水呢还？ 做工是真击败粗糙。,3,1
11275159070,手机今天买的，但是激活时间却是二月四号。我需要一个满意的解释？,3,1
12275149671,用了几天才评价，闪退过一次,3,1
11576143433,希望京东赶紧倒闭,2,1
11276046609,打开包装看到这个黑斑瞬间?凉了一截,2,1
11057387532,问题还是挺多的，不推荐大家购买，如果足够的资金还是建议买X或者7P,2,1
10980793972,被骗了，京豆少了200,2,1
11842906205,还不知道是不是真机，还在查验中，会来追评的,2,1
11558520581,充电玩游戏跟队友语音卡成狗 杂音巨大,2,1
11599088368,掉漆好快，才第三天，还是放保护套里,2,1
11826300983,手机挺好，充电器是假的，应该是把原厂的换出去卖了。,2,1
10886991981,"用了一个月再来评价,不好,希望大家不要跟我买这个苹果8,我说的是实话！",2,1
10914419195,别买了,2,1
11063114916,还行吧！！！,2,1
11075766081,像素狗的很,2,1
11107237628,还可以,2,1
10994328235,懒得说！,2,1
11202742932,特卡,2,1
12269836658,"女朋友牙都笑掉了
我可就惨了
从此再也没有钱出去玩了",2,1
11299037897,"包装很简单。京尊达说好的9-10点间送到，你这到18点才送到，还直接给到隔壁邻居手上。。。
手机暂未使用，以后追评",2,1
12398539384,瑕疵很多，缝隙很大。,2,1
12467344324,我一言难尽,2,1
10911052636,刚买几天便宜了二百多,1,1
10951379431,"申请个价格,客户一直打哈哈,让我稍等,等完了就是换另一个客户来继续跟我打哈哈,真是有意思",1,1
11486635621,为啥我买成7988。买在高位了？,1,1
10947744729,手机是好手机！就是店家不实在。,1,1
11498928343,再也不到京东买手机了,1,1
11540332137,再也不会到京东买东西了。拜拜。,1,1
11036486591,手机壳。钢化膜。啥也没有。,1,1
11087675564,手机迟钝手机记住千万别在网上买京东我服了,1,1
11339463158,京东价格调整太快，已经便宜200了,1,1
10835467766,买了之后必后悔,1,1
11394770833,通话有噪音，京东还是不错的,1,1
10942940859,刚买了一天又减价,1,1
11002380529,最好别买这个烂手机,1,1
11014147485,这个地址还能搞错，,1,1
11398589630,除了系统快之外没啥好的，,1,1
10839405727,激活好麻烦，早知道不在网上买了,1,1
10921965966,刚买马上降价，京东你还可以再拉及一点么,1,1
11721005507,昨天下单今天到手自己过,1,1
11586943228,第一次在京东上面买东西感觉一般呢！,1,1
11779263359,手机还行，服务是真的差劲,1,1
11368413856,真倒霉，新手机尾插接触不良,1,1
11004814707,有很多问题 小毛病真多,1,1
11875489675,送的啥子免费卡、都过期了.,1,1
11237092430,物流延迟，自提的。,1,1
11263644661,一颗心都不想给。,1,1
11527112677,买的5999，不知道什么情况,1,1
11552662873,连个基本膜都舍不得,1,1
11555339762,慈溪京东帮是*的,1,1
11580730478,有可能是翻新机,1,1
11560182684,手机一激活闹钟就响了，呵呵,1,1
10896615234,满满的套路，不能保/价。一星嫌多。,1,1
11802035842,性价比超低！京东价全网最高！,1,1
11335188330,3月21号到的货 保修不足一年,1,1
10928267660,手机掉价太快 早买早吃亏  1星给快递小哥,1,1
11341703280,希望大家以后考虑清楚,1,1
11654337246,这样的服务我没法违心给好评5星,1,1
11730228642,最后悔在京东购买了！小苏才5488元！,1,1
11317010235,手机还不错，在官网也查的到,1,1
11323470473,手机有缝隙。 说是工艺问题。。。。,1,1
10934747729,我感觉我被苹果炮灰了,1,1
11004046794,还行，一般般，问题一般般。,1,1
10911532615,手机是个好手机，可惜被?东这些个客服给糟蹋了,1,1
11755826391,还没用等用后在追加评论,1,1
11938415811,送我的充电器头没有用。,1,1
11576739081,明白人上眼了。注意一些,1,1
11301017650,刚用，没心思评价，京东伤得我太深了,1,1
11901565468,您没有填写内容，默认好评,1,1
11406621059,激活后才发现金属边框上有个凹。,1,1
10935700519,买了就降价，真够可以的,1,1
10977527342,问客服一句话，半天都没人搭理你,1,1
11017571730,双十一的价格比月初还贵，还没有返豆,1,1
10933839281,物流很好。才买2天立马降价，我去。,1,1
11097066857,第一次买苹果手机是包装打开的。,1,1
11206553438,打电话会刺啦刺啦的响,1,1
10997108627,从6开始，换汤不换药，没意思,1,1
11267439890,没达到我要的那种感觉,1,1
11868682217,买给老婆用的，说不好用很卡。,1,1
11384631968,没收到钢化膜和手机套,1,1
10924371464,买回来，第二天就给15000京豆，好生气,1,1
10926456587,四个角都能进纸，价格抗人,1,1
10965492387,为什么给一星，你自己心里没点B数吗,1,1
10919808716,有史一来  跌的最快的手机,1,1
11726312392,手机老是死机，我去拟嘛辣逼的,1,1
10971860490,7号拍的11号才到，送错地方了，也是够了,1,1
11488265568,高仿机6999不知道哪来那么黑的心,1,1
11647036053,手机照相机一直黑屏,1,1
10896097115,其他都还好，关于价格保护，店大欺客,1,1
11678541882,感觉买了个假苹果,1,1
11746428072,买手机不要激活,1,1
10913908365,买了才几天就便宜了几百快。,1,1
11804638865,手机视频的时候发烫，,1,1
11459547552,暂时还可以。没法具体形容,1,1
11310500957,摄像头保护玻璃内有异物,1,1
11943454438,超级不好用。膜还给发错。生气,1,1
11975025654,电量下的比较快,1,1
12003878322,京东的客服，一生黑,1,1
11304000001,自营店不知道有没有喘气的客服，问什么从来没人理，手机收到了没问题。,1,1
12103434317,我不评价买错了,1,1
11524449367,"**宣传,白条息费优惠是假的,各位慎买！",1,1
10895635049,苹果8p跳水王 十多天跳水七五0,1,1
10966575280,手机缝真几把大，都能塞两张纸,1,1
10911751259,这手机是我在你京东买的最后一个手机。,1,1
10955508116,双十一买的什么鬼？,1,1
10984163410,好东西经常死机,1,1
10897007855,这是最好的店。这下可以评了吧,1,1
10897198304,昨天买的下单减150，今天下单减250。呵呵,1,1
11106531967,手机太重了，就买了个牌子。,1,1
10966921409,只要玩游戏就特别烫，耗电也跟快。还没有我现在用了两年多的6Sp好用呢。。莫名的伤感,1,1
10968140385,这速度我服,1,1
11316427202,一直登录不上app store,1,1
12400910997,败在了快递上！呜呼哀哉&hellip;,1,1
11604929732,首先、物流区域分错了，其次，手机刚设置好没一个小时就开始显示有人在北京用我的IP地址登陆,1,1
10925083056,今天刚激活的，耗电量惊人，半个小时20的电,1,1
11453461681,东西到的挺快的，但是左上角屏幕边角有黑色污浊，瞬间感觉心都凉了，同事看了序列号好像也不对劲，真心烦，买个手机最怕遇见这种事,1,1
11710859372,买了送亲人的。现在才知道一开始前摄像头没用的。而且有时候卡在那里不会动,1,1
12471149680,我用PP助手 检验我的新机 结果！是换过主板的翻新机！我现在正在想办法投诉！,1,1
11709515359,坑DIE的东西还没我用了两年多的机子好用手机发烫电池充满就聊会天看一集电视局就剩百分之五十这是新机吗我想知道现在手机还没我用俩年的6S好用,1,1
11032462497,感觉很好难受，用起来很别手，还卡，没我的7用起来顺手后悔的一塌糊涂。,1,1
11667330395,有白点，，，，，，，，，,1,1
11396547697,刚到手，你们自己看！为啥里面有爱思助手？？苹果有自带爱思助手？？？用了这么多年头一回见,1,1
10948774402,快递很快，手里好像是别人退货的，打开屏上面好多指纹,1,1
12327484562,翻新机。不多说,1,1
12360947181,真可怕,1,1
12372976655,价格浮动太大。,1,1
10914573044,原来用的6，换8P之后手机信号差了很多，继续用几天看看吧。还有一个就是快递速度和以前相比慢多了，在京东买东西主要原因还是快递送货快，速度降下来也没什么买东西的欲望了&hellip;&hellip;,1,1
11010446207,下单之前就看到会赠送40000京豆   下单后到收货京豆一直没有赠送  电话联系客服  说我下单时没有赠送京豆活动  后来又改口说购买金色才会赠送  请问哪句话写明了购买金色才赠送40000京豆的   还好购买之前就有截图记录   已投诉消协,1,1
10857655919,"用了才知道,&hellip;&hellip;",1,1
10990194473,就是各种降价，东西应该还行，没什么毛病，不保值的真的！,1,1
12453566855,物流很快，但是手机到手不能激活，看明天能否激活吧！明天再来追评！,1,1
12084616593,呵呵，苹果也开始减配了，3.5耳机转换线能值几个钱，这都给省去了,1,1
11037084070,翻新机？,1,1
11501421812,你麻逼5799买个翻新机，我去朋友帮我看，过保一年。请问，请问全新机，怎么没保。坑比京东,1,1
11605480331,用了很多苹果产品都很好，第一次网购苹果手机，才用一个月就返厂了，不爽！?,1,1
10946574444,传说中的后盖缝隙确实存在，而且未按约定时间配送。我说老张啊，你以前的京东蛮好的，怎么现在也良莠不齐了。,1,1
11710120138,原装的充电器插上没反应，用别的充电器却可以。用别人的苹果充电器也可以。,1,1
11481737330,买了快一个月了我现在才网上看见有些朋友的评论他们手机屏幕或者后面有缝隙 我居然他嘛的种招了 这个怎么办呢。我投诉嘛还是直接打12530呢&hellip;&hellip;,1,1
11772000865,用了没几天降价了，哈哈哈哈哈哈，还不价保，导航不好用，还不敢换，因为听说*的名声。哎,1,1
10901001973,嗯手机一直卡卡的切换界面的时候尤其卡/一个月内手机自己重启了两次莫名其妙/可能我比较衰,1,1
