cus_id,comment_time,comment_star,cus_comment,kouwei,huanjing,fuwu,shopID,label,year,month,weekday,hour,comment_len
小八八八八ZQY,2018/6/6 16:52,sml-str10,很久没 见 过 只 收 现金 的 店 我 问 他 没有 现金 怎么办 店员 就 一副 爱 吃 吃 不吃 走 的 嘴脸 让 我 自己 想 办法 我换 一家,好,差,差,520004,1,2018,6,2,16,59
midoremido,2018/5/6 21:47,sml-str10,规矩 贴满 店铺 看 都 看 不 过来 什么 不能 外带 椰子 盅 不能 随意 搭配 配料 什么 的 感觉 是 一家 拿 口味 说话 的 倔强 甜品 铺 呢 冰淇淋 龟苓膏 龟苓膏 没 毛病 糖浆 好 甜配 的 大颗 草莓 冰淇淋 球是 什么 鬼 浓浓的 香精 味 粉末 口感 凤凰 奶糊糖 不要 钱 吗 还是 打翻 了 甜 到 齁 甜 到 齁 上海 人 都 不能 接受 的 甜 赶紧 对面 全家 买瓶 矿泉水 漱口 真是 谢谢您 了 感觉 要 得 糖尿病,差,差,差,520004,1,2018,5,6,21,228
史努比爱吃肉,2018/5/4 19:14,sml-str10,点 了 一碗 芒果 酱 奶糊酱 是 便宜 酱 没有 芒果 奶糊加 了 十斤 糖 吃 完后 深感 不适 想要 品尝 广东 糖水 的 游客 随便 去 路边 一家 小店 都 比 这种 所谓 的 老店 要 好得多,差,一般,好,520004,1,2018,5,4,19,71
珑酱爱吃披萨,2018/4/6 0:15,sml-str10,味道 一般 但是 价格 真的 算贵 的 了 我 觉得 比该 有 的 价格 高 一倍 了 的 菜单 琳琅满目 但 其实 只是 排列组合 点 了 凤凰 奶糊冬 三宝 还有 个 啥 真的 难吃 环境 服务 又 糟糕 真 不 值得 特地去 吃,差,差,差,520004,1,2018,4,4,0,84
张生张小姐BI,2018/4/2 0:49,sml-str10,写 评论 之前 翻看 了 百花 的 所有 点评 恶评 如流 证明 它 的 服务质量 同 口味 同 环境 真是 成正比 都 是 一样 甘差 从 交钱 买 的 一刻 收银 到 服务区 盛 糖水 的 全程无 看到 员工 的 比金 还 贵 的 施舍 给 顾客 的 笑容 真的 牛叉 比个 服字 不会 再 去 相信 有些 慕名而来 的 游客 得不到 真诚 对待 亦 不会 再 去 自找 伤害 真心 希望 不是 老板 授意 的 待客 方式 真心 希望 倒 老字号 米 的 员工 对得起 自己 的 良心,差,差,差,520004,1,2018,4,0,0,236
嘉嘉_664,2018/4/1 17:44,sml-str10,帮衬 年 刚才 第一次 遇到 两个 声称 自己 为 公务员 的 女人 异口同声 话晤准 搭台 广州 路边 店 是 这样 风格 了 即使 坐住 张台 有人 空住 位 都 可以 搭台 饮茶 也 是 这样 我食 完 了 都 未见有人 来 公务员 大晒 以前 一向 都 系 街坊 生意 最近 因为 微信 的 吹捧 多 了 好多 游客 或 外地人 街边 小铺 的 服务 已经 满足 不了 众多 游客 的 期望 而 本地 街坊 也 难觅 过往 的 人情味 今天 的 公务员 不让 搭台 几 影响 体验 感觉,差,差,差,520004,1,2018,4,6,17,249
Close,2018/3/23 3:14,sml-str10,感觉 一般 贵 没 吃 出 有 啥 特色 真的 贵 感觉,一般,一般,一般,520004,1,2018,3,4,3,18
爱流浪的TL,2018/3/6 13:25,sml-str10,广州 本地人 都 不会 去 吃 的 这种 甜品 根本 算不上 甜品 连家 里面 做 的 糖水 都 不如 真心 不要 再 去 排队 了 外地人 别 跟风 好 吧,差,差,差,520004,1,2018,3,1,13,55
神威_,2018/2/27 22:44,sml-str10,龟苓膏 就是 普通 的 龟苓膏 块 一个 环境 满是 警告 标语 服务 从未 体验 过 如此 恶劣 的 服务 仅收 现金 用 台面 抹布 抹 去 撒 出来 的 糖水 会 被 收拾 阿姨 用 骂街 一样 的 态度 骂 实在 不 懂 这间 店 排队 的 理由 贴钱 买 难受 这辈子 不会 再 去 我 喺 地道 广州 人 此话 喺 讲 比 外地 游客 听,差,差,差,520004,1,2018,2,1,22,193
没有人_5433,2018/2/22 22:08,sml-str10,以为 这么 多人 吃 的 百花 会 很 好 结果 一个 双皮奶 成 了 无皮奶 难吃 贵 等候 时长 无奶味 无皮 粗糙 以后 不 来,差,差,差,520004,1,2018,2,3,22,51
gloria_yxx,2018/2/10 18:10,sml-str10,甜到 齁 人 除了 甜 实在 兼顾 不了 其他 口感,差,差,差,520004,1,2018,2,5,18,20
