cus_id,comment_time,comment_star,cus_comment,kouwei,huanjing,fuwu,shopID,label,year,month,weekday,hour,comment_len
BerlinettaNNN,2018/9/25 23:37,sml-str10,???? ???? ??? ?? ???? ??? ?? ?? ????? ?? ??? ??? ?? ?? ?? ??? ?? ?? ?? ?? ??? ??? ?? ???? ???? ???? ???? ?? ?? ?? ?? ?? ??? ?? ???? ??? ?? ??? ?? ???? ??? ?? ?? ?????? ??,??,??,??,518986,1,2018,9,1,23,83
Nicole????,2018/9/11 21:26,sml-str10,??????? ??? ?? ???? ?? ??? ò?? ?? ???? ?? ? ?? ??? ??? ?? ??????,??,???,??,518986,1,2018,9,1,21,33
??????????,2018/8/28 14:04,sml-str10,???? ?? ???? ??? ?? ??? ??? ??? ??? ???? ???? ??? ?? ??? ?? ??? ????? ??? ?? ???? ????? ??? ??? ???? ?? ? ???? ??? ??? ?? ?? ???? ???? ???? ??? ???? ?? ?? ???? ? ?? ???? ???? ? ? ???? ??? ?? ??? ??? ? ?? ???? ???? ??? ???? ?? ???? ???? ? ???? ???? ????? ??? ???? ??? ????? ?? ?????? ?? ???? ??????? ??? ?? ?? ??? ?? ? ?? ?? ? ?? ??? ? ??? ?? ??? ???? ??? ???? ???? ?? ???? ?? ?? ??? ?? ?? ?? ??? ??? ??? ?? λ?? ???? ??? ?? ???? ???? ? ?? ?? ?? ???? ? ?? ??? ???? ??? ??? ?? ?? ??? ???? ??? ?? ???? ???? ?? ???? ? ?? ??? ??? ?? ??? ?? ???,???,???,??,518986,1,2018,8,1,14,357
С??_3675,2018/7/31 20:20,sml-str10,?? ???? ?? ??? ?? ???? ?? ???? ?? ????? ???????,??,???,??,518986,1,2018,7,1,20,23
lovelyС??,2018/7/30 1:00,sml-str10,????? ? ?? ?? ?? ???? ?? ???? ??? ??? ?? ?????? ? ???? ??? ??? ?? ???? ??? ?? ?ó? ???? ?? ?? ?? ??? ???? ???? ??? ??? ?е? ?? ???? ??? ???? ???? ????? ?? ???? ???? ?? ?? ? ?? ???? ??? ?? ?? ???? ? ?? ?? ? ??? ?? ?? ?? ???? ??? ???? ?? ?? ?? ?? ???? ? ?? ?? ???? ?? ?? ?? ???? ??? ?? ??? ?? ?? ???? ?? ??a ?? ??? ??? ???? ? ?? ?? ???? ??ζ ?? ? ??? ? ??? ??? ???? ????? ??? ???? ?? ?? ?? ?? ???? ?????? ???? ?? ?? ???? ??? ??a ?? ??? ?? ???? ??? ???? ??ζ ??? ??? ???? ?? ?? ??? ? ??? a?? ???? ????,??,??,??,518986,1,2018,7,0,1,318
O????,2018/7/26 16:46,sml-str10,???? ??? ?? ???? ??? ??? Ч?? ???? ???? ???? ?? ?? ?? ??? ?? С? ?? ?? ????? ? ?? ?? ??? ??? ?? ? ?????? ??? ?? ??? ?? ???? ??? ??? ?? ?? ?? ????? ? ?? ?????? ?? ?? ???? ?? ???? ?? ??? ?? ?? ?? ?? ??,???,??,??,518986,1,2018,7,3,16,164
aaronliu,2018/7/25 19:27,sml-str10,???? ??? ?? ??? ??? ??? ???? ?? ?J ?? ??? ??? ?J ?? ?? ???? ???? ?? ?? ??? ?? ???? ?? ?? ??? ??? ?? a?? ??? ζ?? ??? ???? ??? ??? ?? ??? ??? ?? ?????? ???? ?? ????? ???? ?? ???? ?? ?? ??? ?滵 ??,??,??,??,518986,1,2018,7,2,19,169
???,2018/7/23 23:56,sml-str10,??????? ζ?? ??? ???? ?? ???? ? ?? ???? ζ?? ?? ?? ?? ?? ??????? ??? ???? ???? ?? ?? ?? ?????? ??? ? ?? ??? ?′? ?? ?? ??ζ ???? ?? ???? ???? ?? ???? ??? ???? ??? ??? ??? ???? ???? ?? ??? ?? ?? ??? ???? ?е? ?? ?? ?? ??? ??Щ ??? ???? ??? ?? ??? ?? ????? ?? ?? ζ?? ??? ??? ???? ??? ? ?Щ ?о? ??? ?? ??ζ ? ?? ?????? ???? ??? ??? ?? ????￥ ???? ???? ??? ??? ???? ?? ??? ?? ?? ??? ? ?? ?? ?? ??? ???? ?? ? ?? ???? ?? ?? ???? ???? ?? ???? ?? ??? ?????? ? ???? ?? ??? ???? ??? ???? ??? ?? ??? ?? ?ò????? ??? ?? ??? ???? ?? ?? ???? ?? ???? ???? ??? ????? ??? ?? ???? ?? ?? ??? ? ???? ?? ???? ?? ?? ?? ???? ?? ?? ?? ???? ? ?? ??? ?? ???? ??? ?? ?? ??? ?? ??? ?? ?? ??? ?? ???? ?? ?? ?? ?? ???? ???? ???? ????? ???? ??? ??? С?? ?? ???? ?? Σ?? ?? ?? ???? ?? ???? ?? ???? ?? ?? ?? ?? ???? ??? ?鷳 ??? ?? ???? ?? ??? ?? ?? ??? λ?? ???? ?? ?? ?? ??? ?? ?? ?? ??? ??? ?? ?? ??? ??? ?? ???? ???? ?? ??λ ???? ???? ?? ???? ?? ?? ???? ?? ????? ? ?? ?? ?? ???? ?? ?? ?? ?? ??? ? ??? ?? ?? ?? ??? ???? ??? ????? ???? ?? ??? ? ?? ?? ?? ?? ?? λ?? ?? ?? ???? ?? ?? ???? ?? ??? · ???? ? ??? ?? ??? ?? ???? ??? ??? ?? ?? ?? ???? ??? ??????? ?? ???? ?? С?? ?? ???? ? ??? ???? ?е????? ??? ? ???? ???? ??? ?? ???? ??? ?? ???? ???? ??? ? ?? ???? ?′? ?????? ?? ?? ??? ??,???,??,??,518986,1,2018,7,0,23,664
Cathyun_,2018/7/1 18:22,sml-str10,??? ???? ?? ???? ???? ?? ?? ?? ???? ??? ???? ?? ????? ??? ???? ?? ?? ???? ?? ?? ???? ?? ?? ?? ?? ???? ??? ??? ??? ???? ?? ??? λ?? ? ?? ??? ???? ?? ?? ?? ??? ??? ?? ?????? ?? ?? ?? ?? ?? ??? ?? ???? ?? ? ?? ?? ?? ?? ??? ?? ?? ??? ?? ?? ?? ?? ?? ???? ?? ?????? ?? ?? ? ??? ? ?? ?? ?? ???? ?? ??? ?? λ?? ?? ???? ?? ?? ?Χ ?? ?? ???? ?? ??? ??? ?? ???? ?? ??? ?? ?? ?? ?о? ??????? ??? ???? ???? ???? ? ?? ?? ????? ?? ???? ?????? ?? ?? ???? ???? ??Щ ??? ???? ??? ???? ?? ??? ?? ???? ???? ???? ?? ?? ?? ?? ?ó? ???? ??? ?? ???? ???? ???? ??,??,??,??,518986,1,2018,7,6,18,318
dpuserAt_lem0njuice,2018/6/17 22:41,sml-str10,?β? ??? ?? ?? ?? ????? ?? ???? ??? ??? ?? ???? ???? ???? ?? ?? ?? ?? ?? ???? ?? ??? ?? ?? ?????? ???? ?? ??? λ?? ? ??? ??? ?? ????? ?? ?? ???? ??? ?? ??? ??? ??? λ?? ?? ?? ?? ??? ???? ??? ???? ?? ???? ????? ???? ????? ?? ??? ?? ??? λ?? ?? ? ?? ?? ?? λ?? ?? ?? ??? ? ? ?? ?? ???? ?? ?? ?? ?? ??? ?? ?? ??? ?? ?? ? ???? ?ò? ???? ????? ?? ???? ?????? ?? ???? ? ?? ?? ??? ?? ?? ??? ??? ?? ???? ??? ? ???? ?? ??? ???? ??? ??? ???? ??? ??? ???? ?? ???? ?? ?????? ???? ??? ?? ???? ??? ??? ?? ??? ?? ???? ?? ???? ?? ???? ?? ? ?? ? ???? ?? ??? ?· ???? ?? ???? ?? ???? ?? ???? ?? ?? ???? ?? ??? ??? ???? ?? ?? ?? ?? ?? ??? ???? ?? ?ü??? ?? ?? ?? ??? ?? ?? ?? ????? ?? ???? ??? ?? ?? ?? ??? ??? ???? ?? ??? ??? ?? ???? ? ?? ????? ??? ??? ?ó? ?? ??? ?????? ?? ζ?? ???????? ??? ??? ?? ζ?? ?? ???? ?? ?? ?? ??? ?? ??? ?? ?Щ ???? ?? ????? ?? ??? ???? ???? ?? ???? ? ? ? ??? ?? ???? ?? ???? ???? ?? ??,??,??,??,518986,1,2018,6,6,22,497
